"feature","statistic","statistic_corrected","pval","qval"
"Veillonella atypica",-0.679832884393647,0.679832884393647,0.496610282150703,0.585844942224657
"Veillonella dispar",-0.632533570945426,0.632533570945426,0.527038278999501,0.616920776193214
"Desulfovibrio piger",0.614642220121863,-0.614642220121863,0.53879102559906,0.622990529595615
"Phocaeicola coprocola",0.612094512974907,-0.612094512974907,0.540475227662421,0.622990529595615
"Streptococcus salivarius",-0.599048835159708,0.599048835159708,0.549140319375208,0.628183244133761
"Faecalibacterium prausnitzii",0.573383672317327,-0.573383672317327,0.566384943089607,0.643038544410005
"Bifidobacterium dentium",-0.562041208338734,0.562041208338734,0.574087943093352,0.645409110132083
"Haemophilus sp. HMSC71H05",-0.557740804426526,0.557740804426526,0.577021389853186,0.645409110132083
"Turicimonas muris",0.544713390730844,-0.544713390730844,0.5859506536602,0.65057756399037
"Bifidobacterium catenulatum",0.519771649915621,-0.519771649915621,0.6032227411316,0.664865940955268
"Sellimonas intestinalis",0.473499876709613,-0.473499876709613,0.635856588924656,0.695756122663935
"Holdemanella biformis",0.460518702725628,-0.460518702725628,0.645143950187289,0.700839830778997
"Roseburia sp. CAG:471",0.442700314699708,-0.442700314699708,0.657982514797982,0.709681140960681
"Phascolarctobacterium faecium",0.420020848484405,-0.420020848484405,0.674470223416913,0.7221179368003
"Lacrimispora saccharolytica",-0.413721888698885,0.413721888698885,0.679077794871805,0.7221179368003
"Streptococcus parasanguinis",-0.403968000892592,0.403968000892592,0.686236250092025,0.724627089258013
"Dialister invisus",-0.27340234488547,0.27340234488547,0.784543950471521,0.822681503619442
"Bacteroides ovatus",0.210727502326348,-0.210727502326348,0.833099912708693,0.867573012544914
"Haemophilus parainfluenzae",-0.201289829863496,0.201289829863496,0.840471954413576,0.86925524052363
"Veillonella infantium",-0.112489509010507,0.112489509010507,0.910435287543997,0.935209036864922
"Dorea sp. CAG:317",0.0534355966161309,-0.0534355966161309,0.957384843717084,0.97679129325189
"Intestinibacter bartlettii",0.0400258933618553,-0.0400258933618553,0.968072482912701,0.977588033620976
"Anaeromassilibacillus sp. An250",0.0362112186312213,-0.0362112186312213,0.971113940683089,0.977588033620976
"Lactococcus lactis",-0.016440237278517,0.016440237278517,0.986883179374308,0.986883179374308
