"species","mean_rel_abund","overall_prevalence","n_cohorts_passing_threshold","passed_abundance_prevalence_filter","passed_majority_cohort_rule","kept_final"
"Pseudoflavonifractor capillosus",0.000339376770538244,0.0509915014164306,1,FALSE,FALSE,FALSE
"Ruminococcaceae bacterium D5",0.00172065155807365,0.0764872521246459,1,FALSE,FALSE,FALSE
"Raoultella planticola",3.52691218130312e-05,0.0084985835694051,0,FALSE,FALSE,FALSE
"Roseburia sp. CAG:303",0.0409432011331445,0.084985835694051,1,FALSE,FALSE,FALSE
"Coprococcus eutactus",0.564148158640227,0.24929178470255,4,TRUE,TRUE,TRUE
"Eubacterium sp. CAG:251",0.502665155807365,0.195467422096317,3,TRUE,TRUE,TRUE
"Alloscardovia omnicolens",0.00106473087818697,0.0311614730878187,1,FALSE,FALSE,FALSE
"Eubacterium sp. CAG:180",0.867877705382436,0.209631728045326,3,TRUE,TRUE,TRUE
"Eubacterium sp. CAG:274",0.106469858356941,0.152974504249292,3,TRUE,TRUE,TRUE
"Cutibacterium acnes",0.00101932011331445,0.0424929178470255,1,FALSE,FALSE,FALSE
"Dialister sp. CAG:357",0.177236912181303,0.0821529745042493,4,FALSE,TRUE,FALSE
"Bacteroides oleiciplenus",0.00245444759206799,0.0056657223796034,0,FALSE,FALSE,FALSE
"Coprobacter secundus",0.0128091501416431,0.192634560906516,3,TRUE,TRUE,TRUE
"Kocuria palustris",0,0,0,FALSE,FALSE,FALSE
"Acinetobacter lwoffii",0,0,0,FALSE,FALSE,FALSE
"Micrococcus lylae",0,0,0,FALSE,FALSE,FALSE
"Pararheinheimera mesophila",0,0,0,FALSE,FALSE,FALSE
"Desulfovibrionaceae bacterium",0.00480056657223796,0.0934844192634561,1,FALSE,FALSE,FALSE
"Massilimicrobiota timonensis",0.00407552407932011,0.0963172804532578,2,FALSE,FALSE,FALSE
"Fretibacterium fastidiosum",3.58923512747875e-05,0.0254957507082153,1,FALSE,FALSE,FALSE
"Streptococcus vestibularis",0.0161490934844193,0.0934844192634561,3,FALSE,TRUE,FALSE
"Clostridium sp. CAG:411",6.45892351274787e-06,0.0028328611898017,0,FALSE,FALSE,FALSE
"Megamonas funiformis",0.0182854107648725,0.0679886685552408,3,FALSE,TRUE,FALSE
"Megamonas hypermegale",0.0254432294617564,0.0651558073654391,1,FALSE,FALSE,FALSE
"Phocaeicola coprocola",0.463553172804533,0.223796033994334,3,TRUE,TRUE,TRUE
"Megamonas funiformis CAG:377",0.0489335694050991,0.0481586402266289,2,FALSE,FALSE,FALSE
"Paraprevotella clara",0.0222443626062323,0.135977337110482,2,TRUE,FALSE,FALSE
"Streptococcus gordonii",0.00723801699716714,0.107648725212465,2,FALSE,FALSE,FALSE
"Coprobacillus cateniformis",0.0138007082152975,0.110481586402266,3,TRUE,TRUE,TRUE
"Prevotella colorans",0,0,0,FALSE,FALSE,FALSE
"Prevotella buccalis",0.00099699716713881,0.0226628895184136,1,FALSE,FALSE,FALSE
"Anaerofustis stercorihominis",0.00266776203966006,0.0141643059490085,0,FALSE,FALSE,FALSE
"Latilactobacillus sakei",0.00173056657223796,0.056657223796034,1,FALSE,FALSE,FALSE
"Clostridium disporicum",0.0161246175637394,0.155807365439093,3,TRUE,TRUE,TRUE
"Ruminococcus sp. CAG:330",0.0335197450424929,0.0736543909348442,2,FALSE,FALSE,FALSE
"Streptococcus agalactiae",0.00092728045325779,0.0084985835694051,0,FALSE,FALSE,FALSE
"Aggregatibacter segnis",0.0469623229461756,0.0396600566572238,2,FALSE,FALSE,FALSE
"Fusobacterium nucleatum",0.142917705382436,0.0368271954674221,1,FALSE,FALSE,FALSE
"Bifidobacterium pseudolongum",0,0,0,FALSE,FALSE,FALSE
"Allisonella histaminiformans",0.00482807365439094,0.104815864022663,2,FALSE,FALSE,FALSE
"Prevotella bivia",0.11153447592068,0.056657223796034,1,FALSE,FALSE,FALSE
"Clostridium sp. CAG:590",0.0063042776203966,0.0113314447592068,0,FALSE,FALSE,FALSE
"Ruminococcus callidus",0.0171634277620397,0.158640226628895,4,TRUE,TRUE,TRUE
"Holdemanella biformis",0.180412861189802,0.189801699716714,3,TRUE,TRUE,TRUE
"Escherichia marmotae",1.58356940509915e-05,0.0028328611898017,0,FALSE,FALSE,FALSE
"Terrisporobacter othiniensis",2.11614730878187e-05,0.0056657223796034,0,FALSE,FALSE,FALSE
"Porphyromonas somerae",0,0,0,FALSE,FALSE,FALSE
"Prevotella salivae",0,0,0,FALSE,FALSE,FALSE
"Citrobacter amalonaticus",0.000444929178470255,0.0028328611898017,0,FALSE,FALSE,FALSE
"Ligilactobacillus salivarius",0.0121503399433428,0.0198300283286119,0,FALSE,FALSE,FALSE
"Megasphaera micronuciformis",0.00713201133144476,0.0339943342776204,1,FALSE,FALSE,FALSE
"Neisseria sp. oral taxon 014",0,0,0,FALSE,FALSE,FALSE
"Anaerostipes caccae",0.00387436260623229,0.0424929178470255,2,FALSE,FALSE,FALSE
"Coprococcus catus",0.145738243626062,0.509915014164306,4,TRUE,TRUE,TRUE
"Blautia argi",0.00445728045325779,0.0254957507082153,1,FALSE,FALSE,FALSE
"Escherichia albertii",0,0,0,FALSE,FALSE,FALSE
"Prevotella disiens",0.000687592067988669,0.0169971671388102,0,FALSE,FALSE,FALSE
"Porphyromonas uenonis",0.00601756373937677,0.0198300283286119,1,FALSE,FALSE,FALSE
"Peptococcus niger",0.000946317280453258,0.0028328611898017,0,FALSE,FALSE,FALSE
"Bacteroides sp. CAG:144",0.0744871388101983,0.203966005665722,1,TRUE,FALSE,FALSE
"Eubacterium sp. An11",0.000118923512747875,0.0028328611898017,0,FALSE,FALSE,FALSE
"Blautia coccoides",0.00995640226628895,0.0764872521246459,2,FALSE,FALSE,FALSE
"Oxalobacter formigenes",0.00208614730878187,0.0198300283286119,0,FALSE,FALSE,FALSE
"Tractidigestivibacter scatoligenes",0.000984617563739377,0.101983002832861,3,FALSE,TRUE,FALSE
"Dialister pneumosintes",0.0423048725212465,0.0934844192634561,4,FALSE,TRUE,FALSE
"Megasphaera sp. DISK 18",0.00423526912181303,0.0226628895184136,0,FALSE,FALSE,FALSE
"Clostridium sp. CAG:167",0.0654449008498584,0.192634560906516,4,TRUE,TRUE,TRUE
"Hafnia paralvei",0.00123093484419263,0.0056657223796034,0,FALSE,FALSE,FALSE
"Alistipes onderdonkii",0.04971,0.0963172804532578,3,FALSE,TRUE,FALSE
"Coprobacter sp.",0.0106448158640227,0.0198300283286119,1,FALSE,FALSE,FALSE
"Corynebacterium matruchotii",0,0,0,FALSE,FALSE,FALSE
"Bacteroides stercorirosoris",1.72804532577904e-06,0.0028328611898017,0,FALSE,FALSE,FALSE
"Staphylococcus epidermidis",0,0,0,FALSE,FALSE,FALSE
"Parabacteroides goldsteinii",0.0362366855524079,0.147308781869688,3,TRUE,TRUE,TRUE
"Roseburia sp. CAG:182",0.0393312181303116,0.110481586402266,2,TRUE,FALSE,FALSE
"Oscillibacter sp. PC13",0.000120509915014164,0.0424929178470255,1,FALSE,FALSE,FALSE
"Firmicutes bacterium CAG:110",0.078205269121813,0.24929178470255,3,TRUE,TRUE,TRUE
"Prevotella sp. 885",0.0957483852691218,0.028328611898017,1,FALSE,FALSE,FALSE
"Parvimonas micra",0.0107251274787535,0.0679886685552408,2,FALSE,FALSE,FALSE
"Peptostreptococcus stomatis",0.00915776203966006,0.0623229461756374,2,FALSE,FALSE,FALSE
"Moraxella osloensis",0,0,0,FALSE,FALSE,FALSE
"Enhydrobacter aerosaccus",0,0,0,FALSE,FALSE,FALSE
"Micrococcus luteus",0,0,0,FALSE,FALSE,FALSE
"Micrococcus aloeverae",0,0,0,FALSE,FALSE,FALSE
"Dialister micraerophilus",0.000102067988668555,0.0028328611898017,0,FALSE,FALSE,FALSE
"Campylobacter concisus",0.025204164305949,0.028328611898017,1,FALSE,FALSE,FALSE
"Megasphaera sp. MJR8396C",0.00118373937677054,0.0198300283286119,1,FALSE,FALSE,FALSE
"Cloacibacillus porcorum",0.00104294617563739,0.0226628895184136,0,FALSE,FALSE,FALSE
"Desulfovibrio fairfieldensis",0.000865014164305949,0.0169971671388102,0,FALSE,FALSE,FALSE
"Phascolarctobacterium sp. CAG:266",0.14310104815864,0.110481586402266,1,TRUE,FALSE,FALSE
"Rikenella microfusus",0.00156872521246459,0.0028328611898017,0,FALSE,FALSE,FALSE
"Roseburia sp. CAG:309",0.00699439093484419,0.130311614730878,3,FALSE,TRUE,FALSE
"Flavonifractor sp. An10",0.00179869688385269,0.0198300283286119,0,FALSE,FALSE,FALSE
"Victivallis vadensis",0.00342379603399433,0.0651558073654391,1,FALSE,FALSE,FALSE
